candidate	candidate_type	mouse_id	effect_value	effect_definition	expected_direction	effect_supports_hypothesis	condition	time	checkpoint_blockade	n_source_cells	target_lineage
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1a:A0307	0.0001302765314193475	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1a:A0309	-0.003327059096396142	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1a:A0310	0.0012471751984823327	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1a:A0311	-0.00011861663337786826	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1b:A0307	-0.0016864353647946383	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1b:A0310	-0.002767873689133516	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_1b:A0311	0.0006791733590826261	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2a:A0307	0.013779513130111758	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2a:A0308	0.00045223484732381087	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2a:A0309	0.009044327857351228	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2a:A0310	0.00966435930926746	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2a:A0312	0.0005045046785717021	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2b:A0307	0.0006702385660624761	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2b:A0308	0.0019215266553914017	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2b:A0309	0.003034148751312735	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2b:A0310	0.018914968581347273	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_2b:A0312	0.040123591740061075	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_3a:A0307	0.012378621662247406	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_3a:A0308	0.03353178536422363	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_3a:A0310	0.039939376745572845	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_3a:A0311	-0.004271524269420463	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_3b:A0307	6.460021737052483e-05	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_3b:A0311	-0.0017260592644987892	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_6a:A0308	-0.003908473196238468	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_6b:A0307	-0.03460128769992675	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_053_6b:A0308	-0.012009314537942992	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_A:A0312	0.019630800698692292	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_B:A0311	0.0	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_C:A0311	-0.006448411684908966	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_C:A0312	0.009462890876284165	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_C:A0313	0.009558346746834086	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_D:A0311	-0.012664308131186982	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_D:A0312	0.0002395030090682783	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col6a2 → Cd44 → CD8	extracellular	Masopust_054_D:A0313	-0.011344238378446687	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD8
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1a:A0307	-0.020488500124313653	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1a:A0309	-0.036392460244129635	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1a:A0310	-0.0015052040621546018	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1a:A0311	-0.005410858504359454	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1b:A0307	0.0028083153198727004	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1b:A0310	3.971139020800132e-05	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_1b:A0311	-0.0003426083242523466	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2a:A0307	0.008723502539962008	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2a:A0308	0.014916242215513829	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2a:A0309	-0.008225931677717025	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2a:A0310	-0.005266571337409673	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2a:A0312	-0.009277830141795224	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2b:A0307	-0.02251989869529629	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2b:A0308	0.025900265886943545	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2b:A0309	-0.00914429004835475	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2b:A0310	0.003967671218683765	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_2b:A0312	0.010207317313445539	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_3a:A0307	0.011031629675159756	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_3a:A0308	0.009373481504678524	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_3a:A0310	0.005668125068175093	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_3a:A0311	-0.0033806460745172706	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_3b:A0307	-0.003329741034152229	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_3b:A0311	-0.018135463353425946	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_6a:A0308	0.01068153551246654	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_6b:A0307	0.029711367733082788	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_053_6b:A0308	0.004732999814726653	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_A:A0312	-0.006732364477132722	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_B:A0311	0.0	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_C:A0311	0.03468362742063177	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_C:A0312	-0.0015726513773280217	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_C:A0313	0.013435115838905554	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_D:A0311	-0.0002000589075618901	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_D:A0312	-0.0035403885434601642	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Col1a2 → Cd44 → CD4	extracellular	Masopust_054_D:A0313	-0.0019677757395435667	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1a:A0307	-0.016180948904192055	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1a:A0309	-0.029980685095430854	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1a:A0310	-0.0004337292362877212	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1a:A0311	-0.004411320400552388	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1b:A0307	0.0015846468921264828	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1b:A0310	-7.728182385605943e-05	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_1b:A0311	-0.0033835452100163662	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2a:A0307	0.005172053593581129	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2a:A0308	0.0133008758878891	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2a:A0309	-0.004307602620522319	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2a:A0310	-0.0027971473608151944	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2a:A0312	-0.005209125306772634	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2b:A0307	-0.004984880374655391	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2b:A0308	0.015367754088304842	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2b:A0309	-0.0060496500383513	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2b:A0310	0.003738256509383419	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_2b:A0312	0.0082164486388842	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_3a:A0307	-0.0006615860346895053	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_3a:A0308	-0.0009316948633772894	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_3a:A0310	0.0009951766362969903	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_3a:A0311	-0.0034175522140431937	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_3b:A0307	0.0005392252882886176	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_3b:A0311	-0.013075705147295577	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_6a:A0308	0.00682956560150035	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_6b:A0307	0.015225466728465687	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_053_6b:A0308	0.001611648713959742	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_A:A0312	-0.006343484760852664	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_B:A0311	0.0	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_C:A0311	0.018495758104730628	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_C:A0312	0.0033032837580049402	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_C:A0313	0.004817756307288435	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_D:A0311	0.00020879950153309488	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_D:A0312	0.0017226167769334513	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Fbn1 → Itgb1 → CD4	extracellular	Masopust_054_D:A0313	0.0004202150913499543	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_1a:A0310	-0.003054310435550654	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_1a:A0311	-0.00024222623020508845	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_1b:A0310	-3.831225692869248e-05	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_1b:A0311	0.0013996738366024893	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2a:A0307	0.0006309395241985619	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2a:A0308	0.0016568628208817127	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2a:A0310	0.0028731792780352407	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2a:A0312	0.008542494979326838	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2b:A0307	0.004335485576344311	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2b:A0310	-0.004625324701490814	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_2b:A0312	-0.006292484622741497	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_3a:A0310	-0.0064472342405754715	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_3a:A0311	-0.0027151684610763837	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_3b:A0310	-0.013578986794518045	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_3b:A0311	0.008389928736208153	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_6a:A0308	-0.0012090608213756104	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_053_6b:A0308	-0.0012090598949284284	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_054_A:A0312	-0.01993360001954554	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
neutrophil → Vegfa → Itgav → CD4	extracellular	Masopust_054_D:A0311	0.0	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1a:A0307	-0.006680938681992993	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1a:A0309	-0.014659642053303917	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1a:A0310	-0.001174413682024021	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1a:A0311	0.003690165697432582	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1b:A0307	-0.0005110221124777481	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1b:A0310	-0.00012530821699084538	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_1b:A0311	-0.00028132877369795636	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2a:A0307	0.00447759232418521	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2a:A0308	0.0055368699734916335	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2a:A0309	-0.002334702753215833	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2a:A0310	-0.001530080467238818	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2a:A0312	0.002580794056726181	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2b:A0307	0.006327194712843903	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2b:A0308	0.008020042452263397	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2b:A0309	2.3387943536351025e-05	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2b:A0310	-0.0020128906706193372	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_2b:A0312	0.0029466674079530525	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_3a:A0307	-0.000697180951999904	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_3a:A0308	0.00452843927729845	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_3a:A0310	0.008040817799809724	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_3a:A0311	0.0008069915572136543	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_3b:A0307	-0.004494413262380292	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_3b:A0311	-0.005429800625553979	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_6a:A0308	0.010474425904728734	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_6b:A0307	0.02377971365257957	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
fibroblast → Lama4 → Cd44 → CD4	extracellular	Masopust_053_6b:A0308	0.002632519407769091	within-stratum centered source expression multiplied by centered target activation	UNRESOLVED	UNRESOLVED					CD4
